SO20240005235400764D 82715764DL1 VCS1          00000000000.000000000000000.0000                THB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    NNN                                      20240703202407032024070320240703202407032024070320240716 S20240725 N00120240725300062024072530006
SO20240005235500764D 82715764DM1 VCS1          00000000000.000000000000000.0000                THB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    NNN                                      20240703202407032024070320240703202407032024070320240716 S20240725 N00120240725300062024072530006
SO20240005235600764D 82715764DN1 VCS1          00000000000.000000000000000.0000                THB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    NNN                                      20240703202407032024070320240703202407032024070320240716 S20240725 N00120240725300062024072530006
SO20240005605000D13E 16000BZU20  STM1D24XM0075 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 N00120240726WARP 20240726WARP 
SO20240005605100500D 184610E210  JM11058JF0560 00000000000.000000000000000.0000                MYR                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 N00120240726WARP 20240726WARP 
SO20240005605200482D 274150L040  SBI1          00000000447.200000000144000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                 Other                               0000250560001002088NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725CM20240725 Y00120240726WARP 20240726WARP 
SO20240005605300500D 57023KK030C STEM058JF0563 00000000000.000000000000000.000000000000000.0000THB                                                                                                                    20240725                                                                                                        000000000                                                                                00000000000.000000000000000.0000                                                                                                                    0000000000000000000NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 Y00120240726WARP 20240726WARP 
SO20240005605400500D 57024KK030C STEM058JF0563 00000000000.000000000000000.000000000000000.0000THB                                                                                                                    20240725                                                                                                        000000000                                                                                00000000000.000000000000000.0000                                                                                                                    0000000000000000000NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 Y00120240726WARP 20240726WARP 
SO20240005605500482D 586610K530  TBAS          00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 N00120240726WARP 20240726WARP 
SO20240005605600482D 586610K540  TBAS          00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 N00120240726WARP 20240726WARP 
SO20240005605700660A 861200KC03  2DSI          00000000000.000000000000000.000000000000000.0000IDR                                                                                                                    20240725                                                                                                        000000000                                                                                00000000000.000000000000000.0000                                                                                                                    0000000000000000000NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 M20240725 Y00120240726WARP 20240726WARP 
SO20240005605800D54B 81150BZD00N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005605900D54B 81150BZC90N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606000D54B 81150BZB80N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606100D54B 81150BZB70N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606200D54B 81150BZB60N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606300D54B 81150BZB50N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606400D54B 81150BZB40N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606500D54B 81150BZB30N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606600D54B 81110BZD00N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606700D54B 81110BZC90N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606800D54B 81110BZB80N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005606900D54B 81110BZB70N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607000D54B 81110BZB60N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607100D54B 81110BZB50N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607200D54B 81110BZB40N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607300D54B 81110BZB30N TSE1D41HM2489 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607400481D 56117KK041  IRC1          00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
SO20240005607500D92A 16000BZU20  STM1D41HM2367 00000000000.000000000000000.0000                THB                                                                                                                    20240725                                                                                                                                                                                                                                                                                                                                                                        NNN00000000000.000000000000000.0000000.0020240725202407252024072520240725202407252024072520240725 A20240725 N00120240726WARP 20240726WARP 
