PE20240005410400230001N                                                     Handling Cost                           00000000000.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     20240726SUPLY20240726SUPLY
PE20240005410400231001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500010001N                                                     Summary(Raw Mat Dom)                    00000000000.0000                                                                                                                                                                                                                    00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500011001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.000000000226434.000000000226434.0000                20240726WARP 20240726SUPLY
PE20240005410500020001N                                                     Summary(Raw Mat Imp)                    00000000000.0000IMPORT                                                                                                                                                                                                                              00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500021001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500030001Y698100K320   Summary(BOP)                                                                    00000196502.0000                                                                                                                    00000000001.0000                                                                                                                                                                                                                             00000196502.0000                                                                                                                                                                                                                                                                                                                                    20240726SUPLY20240726SUPLY
PE20240005410500030002N698100K320   Summary(Control Component)                                                      00000000000.0000                                                                                                                    00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500031001Y                                                                                             00000196502.0000                                                                                                                                                                                                                                                                                                                                                                 00000196502.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500040001N698100K320   Summary(BOP)                                                                    00000000000.0000IMPORT                                                                                                                              00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500040002N698100K320   Summary(Control Component)                                                      00000000000.0000IMPORT                                                                                                                              00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500041001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500050001N                                                     Summary(Process Cost)                   00000000000.0000                                                                                                                                                                                                                    00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500050002N             Summary(Other)                                                                  00000000000.0000                                                                                                                                                                                                                    00000000001.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500051001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500061001Y                                                                                             00000196502.0000                                                                                                                                                                                                                                                                                                                                                                 00000196502.0000                                                                                                                                                                                                                                                                    00000000000.000000000226434.000000000226434.0000                20240726WARP 20240726SUPLY
PE20240005410500071001Y                                                                                             00000029932.0000                                                                                                    00000000015.2300                                                                                                                                                                                                                                             00000011232.0000                                                                                                    00000000005.7200                                                                                                                                                00000018700.0000                                                20240726WARP 20240726SUPLY
PE20240005410500081001Y                                                                                             00000000000.0000                                                                                                    00000000000.0000                                                                                                                                                                                                                                             00000000000.0000                                                                                                    00000000000.0000                                                                                                                                                00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500091001Y                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  20240726WARP 20240726SUPLY
PE20240005410500100001N             Summary(Exp. Tooling/pc)                Summary(Exp. Tooling/pc)                00000000000.0000IMPORT                                                                                                                              00000000001.000000000000000.000000000000000.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 20240726SUPLY20240726SUPLY
PE20240005410500101001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500111001Y                                                                                             00000226434.0000                                                                                                                                                                                                                                                                                                                                                                 00000207734.0000                                                                                                                                                                                                                                                                    00000018700.000000000226434.000000000226434.000000000000000.000020240726WARP 20240726SUPLY
PE20240005410500121001Y                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  20240726WARP 20240726SUPLY
PE20240005410500131001Y                                                                                             00000226434.0000                                                                                                                                                                                                                                                                                                                                                                 00000207734.0000                                                                                                                                                                                                                                                                    00000018700.0000                                                20240726WARP 20240726SUPLY
PE20240005410500141001Y                                                                                             00000000000.0000                                                                                                                                                                                                                                                                                                                                                                 00000000000.0000                                                                                                                                                                                                                                                                    00000000000.0000                                                20240726WARP 20240726SUPLY
PE20240005410500210001N                                                     Logistics Cost                          00000000000.0000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     20240726SUPLY20240726SUPLY
